Ulasan;Label
Pantai bersih putih pasirnya dan debur ombak yg damai;Positif
Tempatnya bagus dan cukup bersih pemandangan pantainya juga bagus suasana cukup teduh dengan adanya banyak pohon di sekitar pantai …;Positif
Asyik ada wisata hutan mangrove dan cocok untuk keluarga;Positif
Sekarang sudah lumayan bagus setelah perawatan...;Positif
gak ada spot foto dan tempatnya kotor banget. magrove.nya juga kebanyakan rusak jembatannya. gak diperbaiki. gak rekomendasi banget lah ke sini;Negatif
Sudah tak terawat;Negatif
kurang rekomended untuk wisatawan di lihat dri fasilitas dan juga keadaan pantai yg kurang terawat,;Negatif
Suasana d siang hari pun lumayan sejuk disini,, ada beberpa proyeek yang masii proses pengerjaan;Netral
Ditempat ini dapat melihat ombak pantai dengan angin yang cukup kencang, dan banyak pedagang;Netral
Tempat wisata yg paling deket rumah;Netral
