Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
PENTINGNYA KOMPETENSI PEJABAT PENGADAAN BARANG/JASA PEMERINTAH KOTA KABUPATEN BANGKALAN DALAM MELAKSANAKAN PROSEDUR PENGADAAN BARANG/JASA BERDASARKAN PERPRES 54 TAHUN 2010,Penulis : Nida Qolbi,"Dosen Pembimbing I :  Mohammad Djasuli,SE., M.Si., QIA","Dosen Pembimbing II :Gita Arasy Harwida,SE.,Ak.,M.Tax,QIA ","Abstrak : Pentingnya Kompetensi Pejabat Pengadaan Barang/Jasa Pemerintah Kota Kabupaten Bangkalan Dalam Melaksanakan Prosedur Pengadaan Barang/Jasa Menurut Perpres 54 Tahun 2010. Tujuan dari penelitian ini adalah Untuk mengetahui pengimplementasian perpres 54 tahun 2010 dan kesesuaian kompetensi pejabat pengadaan barang/jasa menurut perpres 54 tahun 2010. Informan dalam penelitian ini adalah Pejabat pengadaan barang/jasa di Kabupaten Bangkalan. Data dikumpulkan dari wawancara langsung dengan para informan dan dianalisa dengan fenomenologi. Hasil dari penelitian ini menunjukkan bahwa pejabat pengadaan di Pemerintahan Kabupaten Bangkalan sudah mengimplementasikan Perpres 54 tahun 2010, namun belum secara keseluruhan. dikarenakan keterbatasan dana, kelengkapan administrasi yang masih kurang, dan belum tersedianya kantor khusus pengadaan barang/jasa. Berkaitan dengan kompetensi yang dimiliki oleh pejabat pengadaan menunjukkan bahwa kompetensi yang dimiliki Pejabat Pengadaan/ULP di Kabupaten Bangkalan masih tergolong rendah. Hal ini dibuktikan dari hasil realisasi pengadaan barang dan jasa pemerintah Kabupaten Bangkalan baik fisik maupun non fisik.

Kata Kunci: Pengadaan barang/jasa, Perpres 54, pejabat pengadaan ,Implementasi dan Kompetensi
"
ANALISIS PERLAKUAN AKUNTANSI TABUNGAN DENGAN SISTEM WADIAH PADA BANK JATIM SYARIAH SAMPANG,Penulis : Rr. ALVIN SHARAS,"Dosen Pembimbing I : Prof. Dr. H. M. Nizarul Alim, SE., M.Si., Ak","Dosen Pembimbing II :Rita Yuliana, SE,M.S.A., Ak","ABSTRAK

Wadiah telah berkembang dalam dunia perbankan syariah Indonesia saat ini. Bank syariah mengaplikasikannya dalam bentuk tabungan sesuai dengan undang-undang perbankan syariah. Hal ini dapat dilihat dari adanya standar akuntansi untuk wadiah. Penelitian ini bertujuan untuk mengetahui praktik pengelolaan wadiah di bank syariah dan perlakuan akuntansi untuk wadiah. Metode penelitian yang digunakan dalam penelitian ini adalah studi kasus. Peneliti menjadikan Bank Jatim Syariah Sampang sebagai tempat penelitian dikarenakan di tepat tersebut mempunyai produk tabungan wadiah yang semakin berkembang. Peneliti mendapatkan data langsung dari informan kunci melalui wawancara, dimana data tersebut direkam dan dibantu alat tulis lainnya.
Hasil dari penelitian ini adalah pengelolaan tabungan wadiah di Bank Jatim Syariah Sampang sudah sesuai dengan standar akuntansi untuk wadiah. Wadiah di Bank Jatim Syariah Sampang dikelola dalam bentuk tabungan dan giro yang bersifat adh-dhamanah. Namun dana wadiah di Bank Jatim Syariah Sampang dicampur dengan penghimpunan dana lainnya. Sedangkan untuk perlakuan akuntansi wadiah sudah mengikuti standar yang digunakan.

Kata kunci: wadiah, tabungan wadiah, dan perlakuan akuntansi.
"
PERSEPSI MAHASISWA TENTANG MODEL PEMBELAJARAN BERBASIS ASISTENSI PADA MATA KULIAH AKUNTANSI PENGANTAR AKUNTANSI I DAN II DI PROGRAM STUDI AKUNTANSI UNIVERSITAS TRUNOJOYO MADURA,Penulis : MOH. MUKROM,"Dosen Pembimbing I : RITA YULIANA, SE., MSA., Ak","Dosen Pembimbing II :JUNAIDI, SE., MSi., Ak","ABSTRAK

Keberadaan beasiswa di Fakultas Ekonomi yang jumlahnya lumayan besar dan kuantitasnya cukup banyak, memungkinkan mahasiswa mengakses beasiswa tersebut dari bermacam jenis beasiswa. Sejak tahun 2010 beasiswa asistensi akuntansi pengantar diterpakan oleh Fakultas Ekonomi. Penerapan asistensi diharapkan dapat membantu mahasiswa akuntansi khususnya mata kuliah akuntansi pengantar 1 dan 2. Disisi lain penerapan asistensi merupakan program beassiswa yang sampai saat ini belum ada penilaian dari pelaksanaannya tersebut.
Jenis penelitian yang digunakan dalam penelitian ini adalah jenis deskriptif dengan menggunakan pendekatan kualitatif. Dengan metode ini peneliti berupaya memberikan gambaran secara terperinci terkait penerapan persepsi mahasiswa terhadap penerapan asistensi akuntansi pengantar. Persepsi tersebut akan memberikan penjelasan dari 3 komponen yaitu; kompetensi pedagogi, kompetensi professional, dan kompetensi sosial.
Dari hasil analisis data yang diperoleh dari hasil wawancara yang dilakukan dengan beberapa informan dapat ditarik beberapa kesimpulan terkait dengan pelaksanaan asistensi akuntansi pengantar. Keterampilan asdos dalam penyampaian materi serta kemapuan menghidupkan suasana kelas masih kurang, jadwal serta ruang kelas untuk pelaksanaan perkuliahan asdos kurang diperhatikan oleh Fakultas sehingga terkadang mahasiswa kebingungan mencari ruangan, kedisiplinan masih belum terlaksana sebagaimana mestinya. Pergaulan antara mahasiswa dengan asdos sejauh ini bisa terjalin dengan sejahtera. Namun terkadang asdos masih kurang dalam penguasaan diri. 

Kata kunci: Persepsi Mahasiswa, Asistensi, Akuntansi Pengantar 
"
ANALISIS FUNGSI LAKIP SEBAGAI PENGUKURAN KINERJA INSTANSI PEMERINTAH (STUDI KASUS PADA DINAS KOPERASI UMKM KAB.BANGKALAN),Penulis : KARTIKA RUSNINDITA,"Dosen Pembimbing I : JUNAIDI SE,M.Si.,Ak","Dosen Pembimbing II :NURHAYATI SE,MSA.,Ak","ABSTRAK

Penelitian ini bertujuan untuk mengetahui sejauhmana LAKIP berfungsi sebagai pengukuran kinerja instansi pemerintah, berdasarkan ketentuan yang berlaku (PP 8/2006), dengan studi kasus Dinas Koperasi UMKM Kabupaten Bangkalan.
Metodologi penelitian yang digunakan adalah kualitatif deskriptif dengan pendekatan studi kasus. Pengumpulan data yang diperoleh melalui informan yang terkait, media cetak, dokumen, perundangan yang berlaku. Analisa data dilakukan melalui tiga tahapan, yaitu reduksi data, penyajian data dan penarikan simpulan.
Hasil penelitian menunjukkan bahwa LAKIP telah dibuat setiap berakhirnya tahun anggaran, namun masih belum sepenuhnya berdasarkan pada ketentuan yang berlaku (PP 8/2006). Hal ini dapat diketahui dari bentuk LAKIP, misalnya: (1). sistematika penulisan (format); (2). waktu penyampaian LAKIP terlambat. Sedangkan unsur isi LAKIP, misalnya: (1). pengalokasian anggaran dari suatu program/kegiatan untuk kepentingan publik masih rendah; (2). perencana pengalokasian anggaran kurang cermat mengantisipasi perkembangan  dari potensi, peluang dan kendala yang ada atau yang mungkin timbul.


Kata Kunci: PP 8/2006, LAKIP Dinas Koperasi UMKM Bangkalan.  
"
PENGARUH FAKTOR-FAKTOR TINGKAT KESULITAN DALAM PENGISIAN SPT MASA TERHADAP KEPATUHAN WAJIB PAJAK ORANG PRIBADI DI KABUPATEN PAMEKASAN,Penulis : DEWI AGUS NORFITRIAH,"Dosen Pembimbing I : ANIS WULANDARI, SE., M.SA., Ak","Dosen Pembimbing II :NURUL KOMPYURINI, SE., Ak., MAk","Agus Norfitriah, Dewi. 2012. Pengaruh Faktor-Faktor Tingkat Kesulitan dalam Pengisian SPT Masa terhadap Kepatuhan Wajib Pajak Orang Pribadi di Kabupaten Pamekasan
Pembimbing I: Anis Wulandari, SE., M.SA., Ak, Pembimbing II: Nurul Kompyurini, SE., Ak, MAk

Abstraksi
Sejak penerapan self assessment system, diperlukan kesadaran dan kepatuhan dari Wajib Pajak untuk melaksanakan kewajiban perpajakan sesuai dengan peraturan perpajakan yang berlaku. Dalam kenyataan dan prakteknya, masih banyak Wajib Pajak yang tidak patuh, yang tidak melaksanakan kewajiban perpajakannya secara benar dan tepat waktu. Kepatuhan Wajib Pajak yang dimaksud adalah kepatuhan membayar pajak tepat bayar (patuh material), kepatuhan mengisi dan melaporkan SPT Masa tepat waktu (patuh formal), dan kepatuhan melalui pemeriksaan pajak. Terdapat lima faktor tingkat kesulitan pengisian SPT yang berpengaruh terhadap kepatuhan Wajib Pajak Orang Pribadi dalam hal pengisian SPT masa. Faktor pertama yaitu pengetahuan perpajakan Wajib Pajak. Faktor kedua yaitu kesadaran Wajib Pajak. Faktor ketiga yaitu petunjuk pengisian. Faktor keempat yaitu kompleksitas isian formulir SPT. Faktor kelima yaitu Peraturan Perpajakan.
Penelitian ini bertujuan untuk mengetahui pengaruh baik secara parsial maupun simultan kelima faktor tingkat kesulitan pengisian SPT Masa terhadap kepatuhan Wajib Pajak Orang Pribadi di Kabupaten Pamekasan.
Metode penelitian yang digunakan adalah pendekatan kuantitatif. Populasi dan sampel dalam penelitian ini adalah Wajib Pajak Orang Pribadi se Kabupaten Pamekasan yang mempunyai kewajiban di KPP Pratama Pamekasan pada tahun 2011. Analisis data yang digunakan adalah model analisis regresi linear berganda dengan memanfaatkan software SPSS versi 16.0. Uji asumsi dalam penelitian ini yang harus dilakukan dalam model regresi tersebut meliputi, Uji Normalitas, Uji Multikolinieritas, dan Uji Heteroskedastisitas. Serta, Uji hipotesis dalam penelitian ini menggunakan uji-t dan uji-f, dan Uji Koefisien Determinasi (R2).
Hasil penelitian menunjukkan bahwa untuk uji secara parsial tingkat kesadaran Wajib Pajak, kompleksitas isian formulir SPT Masa, Peraturan Perpajakan memiliki pengaruh yang tidak signifikan terhadap kepatuhan Wajib Pajak Orang Pribadi di Kabupaten Pamekasan, sedangkan pengetahuan perpajakan serta petunjuk pengisian SPT Masa dapat dikatakan bahwa ada pengaruh terhadap kepatuhan Wajib Pajak Orang Pribadi di Kabupaten Pamekasan. Serta pengetahuan perpajakan, tingkat kesadaran Wajib Pajak, petunjuk pengisian SPT Masa, kompleksitas isian formulir SPT Masa, Peraturan Perpajakan secara bersama-sama/simultan memiliki pengaruh secara signifikan terhadap kepatuhan Wajib Pajak. 

Kata kunci: Faktor-Faktor Tingkat Kesulitan Pengisian SPT Masa, dan Kepatuhan Wajib Pajak Orang Pribadi. 
"
"PENGARUH UKURAN PERUSAHAAN, PROFITABILITAS, FINANCIAL LEVERAGE, DAN HARGA SAHAM DALAM PRAKTIK PERATAAN LABA (INCOME SMOOTHING)",Penulis : IKA YULI NOVARIANTI,"Dosen Pembimbing I : YUDHANTA SAMBHARAKRESHNA,SE,M.Si,Ak","Dosen Pembimbing II :RINDAH FEBRIANA, SE, M.ACC,Ak","Tujuan utama dalam penelitian ini ialah untuk menguji secara empiris variabel-variabel ukuran perusahaan, profitabilitas, financial leverage dan harga saham terhadap perataan laba (income smoothing) pada perusahaan manufaktur automotive go public di Bursa Efek Indonesia tahun 2006-2010 baik secara parsial dan simultan. Penelitian ini menggunakan pendekatan kuantitatif, dimana jenis data yang digunakan adalah data sekunder dalam bentuk laporan keuangan yang diperoleh dari Indonesian Capital Market Directory periode tahun 2006-2010, dengan sampel sebanyak 13 perusahaan manufaktur automotive yang go public. Analisis terhadap data-data yang diperoleh dilakukan dengan menggunakan analisis regresi linier berganda dan uji F dan t.
Hasil penelitian menunjukkan bahwa secara parsial variabel ukuran perusahaan, profitabilitas, financial leverage dan harga saham berpengaruh terhadap praktik perataan laba (income smoothing); sedangkan secara simultan, ukuran perusahaan berpengaruh signifikan terhadap perataan laba (income smoothing), profitabilitas berpengaruh signifikan terhadap perataan laba (income smoothing), financial leverage berpengaruh tidak signifikan terhadap perataan laba (income smoothing), dan harga saham berpengaruh terhadap perataan laba (income smoothing).
Kata kunci: Perataan laba (Income smoothing), Ukuran perusahaan, Profitabilitas, Financial Leverage, dan Harga saham.

"
Menguak Fenomena Penurunan Kualitas Laporan Keuangan Pemerintah Daerah AB: Studi Interpretif,Penulis : Yuyun Komaria,"Dosen Pembimbing I : Rahmat Zuhdi, SE., M.SA., Ak., QIA","Dosen Pembimbing II :Nur Hayati, SE., M.SA., Ak., QIA","Penelitian ini didasarkan pada fenomena penurunan opini LKPD kabupaten/kota di Jawa Timur, khususnya laporan keuangan pemda AB sebagai satu-satunya LKPD di Jawa Timur yang mendapat predikat WTP pada tahun 2006, selanjutnya mengalami penurunan kualitas di tahun 2007, 2008, dan 2009 yang berturut-turut mendapat opini TW, TMP, dan TW. Tujuan dari penelitian ini adalah menguak alasan terjadinya fenomena penurunan kualitas laporan keuangan pemda AB. Penelitian ini menggunakan pendekatan fenomenologi. Data dikumpulkan dari wawancara mendalam dengan para informan, kemudian dianalisa menggunakan model Creswell.
Hasil penelitian menunjukkan (1) penerapan SIKD pemda AB belum terintegrasi sehingga menyebabkan data aset tetap tidak terdokumentasi dengan baik, (2) pemda AB belum memaksimalkan upaya peningkatan kualitas sumber daya manusia yang memiliki kemampuan akuntansi, (3) Adanya perbedaan kebijakan antara Kementerian Kesehatan dan Kementerian Dalam Negeri menimbulkan ketidaksepahaman pemerintah daerah yang satu dengan lainnya dalam menafsirkan kebijakan tersebut, sehingga setiap pemerintah daerah menggunakan kebijakan yang berbeda-beda dalam pengelolaan dana Jamkesmas di daerahnya.

Kata kunci: penurunan opini, kualitas laporan keuangan pemerintah daerah
"
"Analisis Perbandingan Antara Model Zmijewski (X-Score), Zavgren (Logit), dan Altman (Z-Score)  Dalam Memilih Prediktor Kebangkrutan Terakurat Pada Perusahaan yang Bangkrut di Bursa Efek Indonesia (BEI",Penulis : Dian Yunita Syaiful,"Dosen Pembimbing I : Yudhanta Sambharakreshna, S.E., M.Si., Ak","Dosen Pembimbing II :Rita Yuliana, S.E., MSA., Ak","Para investor dan kreditur sebelum menanamkan dananya pada suatu perusahaan akan selalu melihat terlebih dahulu bagaimana kondisi keuangan perusahaan tersebut masa kini dan yang akan datang. Oleh karena itu, analisis dan prediksi atas kondisi keuangan perusahaan yang akurat adalah sangat penting. Kesalahan prediksi terhadap kelangsungan operasi suatu perusahaan di masa yang akan datang dapat berakibat fatal yaitu kehilangan pendapatan atau investasi yang telah  ditanamkan  pada  suatu  perusahaan. Pentingnya  suatu  model prediksi kebangkrutan suatu perusahaan menjadi hal yang sangat dibutuhkan oleh berbagai pihak  seperti  pemberi pinjaman, investor, pemerintah, akuntan, dan manajemen.
Tujuan dari penelitian ini untuk mengetahui perbedaan dari ketiga analisis model dalam memprediksi kebangkrutan yaitu antara model Zmijewski (X-Score), Zavgren (Logit), dan Altman (Z-Score). Ketiga model ini dikembangkan dan dibentuk oleh perbandingan rasio-rasio keuangan dalam mengidentifikasi hasil akhir dari prediksi kebangkrutan. 
Dalam penelitian ini model Zmijewski menggunakan cummulative normal distribution, model Zavgren menggunakan logistic function, dan multivariate discriminant pada model Altman. Untuk menguji perbedaan dari ketiga model tersebut digunakan SPSS 16 menggunakan uji Kruskal-Wallis (uji H). Sampel yang digunakan adalah populasi perusahaan yang bangkrut pada tahun 2009 di Bursa Efek Indonesia (BEI) yaitu sebanyak 9 perusahaan dengan periode tahun 2007-2008 (dua tahun sebelum kebangkrutan).
	Hasil penelitian dari ketiga model menunjukkan bahwa secara umum prediksi kebangkrutan pada perusahaan yang bangkrut sebagian besar diprediksi dalam keadaan bangkrut. Hal ini terkait dengan rasio perputaran aktiva perusahaan, laba perusahaan, dan total hutang disajikan dalam ketiga model tersebut. Rasio-rasio tersebut cukup berpengaruh dalam memprediksi kesulitan keuangan perusahaan. Selain itu, disimpulkan bahwa terdapat perbedaan antara ketiga model tersebut, dan antara ketiga model prediksi kebangkrutan tersebut yang paling akurat adalah model Altman. Dari hasil penelitian di atas disarankan pada penelitian selanjutnya sebaiknya memperluas sampel perusahaan agar dapat memperoleh hasil yang lebih akurat.
"
analisis kinerja keuangan pada UKM ( Usaha kecil menengah) panca surya,Penulis : nurhayati,Dosen Pembimbing I : Robiatul Auliyah,Dosen Pembimbing II :Anis Wulandari,"ABSTRAKSI

Nurhayati, Analisis Kinerja Keuangan pada UKM (Usaha Kecil Menengah) CV. Panca Surya. Dibawah bimbingan Robiatul Auliyah, S.E.,M.SA dan Anis Wulandari, SE; M.SA; Ak
Pada mulanya laporan keuangan bagi suatu perusahaan hanyalah sebagai âalat pengujiâ dari pekerjaan bagian pembukuan. Akan tetapi, untuk selanjutnya laporan keuangan tidak hanya sebagai alat penguji saja, melainkan sebagai dasar untuk menentukan atau menilai posisi keuangan perusahaan. Analisa laporan keuangan sangat penting untuk mengetahui kelemahan-kelemahan yang dimiliki perusahaan, agar dapat diusahakan melakukan perbaikan dalam penyusunan rencana untuk tahun-tahun yang akan datang. Sehingga, kelemahan-kelemahan  tersebut dapat diperbaiki dan hasil-hasil yang dianggap sudah cukup baik di tahun-tahun lalu harus dipertahankan untuk tahun mendatang. Hasil analisa tersebut dapat digunakan untuk mengambil keputusan bagi pihak-pihak yang berkepentingan Agar laporan keuangan dapat berarti bagi pihak-pihak yang berkepentingan, maka perlu mengadakan analisa hubungan dari berbagai pos-pos dalam suatu laporan keuangan yang sering disebut analisis laporan keuangan. Dalam hal ini, analisa rasio dapat dipakai dalam memberikan gambaran keadaan keuangan yang sebenarnya mengenai perkembangan perusahaan dan sehat tidaknya perusahaan tersebut melakukan usaha.
Tujuan penelitian ini adalah untuk mengetahui kinerja keuangan CV Panca Surya- Sampang dari tahun 2007-2010 dengan melakukan analisa terhadap laporan keuangannya, sehingga dapat diketahui sejauh mana peran analisis laporan keuangan dalam mengukur kinerja keuangan perusahaan, jika ditinjau dari likuiditas, solvabilitas, aktivitas dan profitabilitasnya. 
Jenis penelitian yang digunakan adalah penelitian kualitatif dengan pendekatan deskriptif. Jenis data yang digunakan data sekunder. Teknik yang digunakan untuk memperoleh data yakni dengan cara melakukan studi pustaka dan dokumentasi. Sedangkan alat analisisnya menggunakan analisis rasio keuangan yang meliputi: rasio likuiditas, rasio solvabilitas, rasio aktivitas dan rasio profitabilitas.
Hasil dari penelitian ini menunjukkan bahwa di tahun 2007 sampai dengan tahun 2010, CV Panca Surya-Sampang mampu memenuhi kewajiban jangka pendek maupun jangka panjangnya. Begitu pula, dengan kemampuan CV Panca Surya-Sampang dalam menghasilkan laba/keuntungan dapat dikatakan cukup berhasil. Sehingga, jika suasana atau situasi seperti ini bisa dipertahankan, maka secara otomatis kinerja perusahaan kedepannya akan selalu dalam keadaan baik dan terkendali.  
"
Studi dampak penerapan IFRS vs SAK konfergensi terhadap kinerja keuangan perusahaan (studi kasus pada PT Berlian Laju Tanker Tbk),Penulis : samuel krissetiawan,Dosen Pembimbing I : anita carolina,Dosen Pembimbing II :rindah febrina,"ABSTRAKSI

International Financial Reporting Standard (IFRS) merupakan standar akuntansi internasional yang penting mengingat kebutuhan pasar global akan adanya standar akuntansi yang berkualitas tinggi. Adanya penerapan IFRS pada Standar Akuntansi Keuangan (SAK) mengakibatkan perubahan dalam laporan keuangan perusahaan khususnya terhadap kinerja keuangan perusahaan yang dihasilkan.

Penelitian ini bertujuan untuk memahami dampak penerapan IFRS vs SAK Konvergensi terhadap kinerja laporan keuangan perusahaan, serta untuk mengetahui adanya perbedaan kinerja keuangan yang dihasilkan menurut IFRS vs SAK Konvergensi pada PT Berlian Laju Tanker, Tbk. Penelitian ini menggunakan Software Microsoft Excel untuk menghitung rasio keuangan serta uji Sign Test, dan uji Wilcoxon untuk mengetahui adanya perbedaan-perbedaan diantara dua standar akuntansi yaitu IFRS dan SAK terhadap kinerja keuangan perusahaan signifikan secara statistik. Secara spesifik sampel penelitian yang digunakan yaitu laporan keuangan PT Berlian Laju Tanker, Tbk pada tahun 2006-2010.

Hasil penelitian ini menunjukkan bahwa penerapan IFRS terhadap laporan keuangan perusahaan tidak bisa dilepaskan pada standar akuntansi lokal dalam hal ini SAK dimana perlu penyesuaian sehingga akan terjadi perbedaan dalam penyajian yang disajikan dibawah IFRS dan SAK. 	Beberapa rasio keuangan seperti rasio perputaran piutang usaha, rasio perputaran persediaan, rasio perputaran aset tetap, rasio perputaran total aset, rasio laba kotor, rasio total utang terhadap total modal dan rasio total utang terhadap ekuitas yang berbeda signifikan secara hasil uji statistik. Sehingga terdapat perbedaan atas SAK konvergensi terhadap IFRS sepanjang periode 2006-2010.

Kata Kunci: IFRS, SAK, Kinerja Keuangan Perusahaan. 
"
